# call_index  iSCC  SCC_error(a.u.)
     358    12  8.943533100000e-06
     359    12  6.570179400000e-06
     360    12  4.914826300000e-06
     361    12  4.992727100000e-06
     362    12  6.029646800000e-06
     363    12  6.141374900000e-06
     364    12  6.932859400000e-06
     365    12  7.121614200000e-06
     366    12  6.902876200000e-06
     367    12  7.901542500000e-06
     368    12  9.168554600000e-06
     369    12  7.342449200000e-06
     370    12  7.261732700000e-06
     371    12  6.293270500000e-06
     372    12  4.284734300000e-06
     373    12  8.056971100000e-06
     374    12  7.402976000000e-06
     375    12  8.267542000000e-06
     376    12  9.047435700000e-06
     377    12  8.600922800000e-06
     378    12  8.792783500000e-06
     379    12  9.051720900000e-06
     380    12  7.113190900000e-06
     381    12  5.369327300000e-06
     382    12  5.119110400000e-06
     383    12  5.087868500000e-06
     384    12  5.279489700000e-06
     385    12  8.125644700000e-06
     386    12  6.333458000000e-06
     387    12  5.893897500000e-06
     388    12  6.411032700000e-06
     389    12  9.203191700000e-06
     390    12  8.427074300000e-06
     391    12  7.812807200000e-06
     392    12  6.822314300000e-06
     393    12  6.406659400000e-06
     394    13  2.190611800000e-06
     395    13  2.625543400000e-06
     396    13  2.885059000000e-06
     397    13  3.256037400000e-06
     398    12  9.856790700000e-06
     399    12  8.844017400000e-06
     400    12  9.076052400000e-06
     401    12  6.391169100000e-06
     402    12  4.108056300000e-06
     403    12  3.838351200000e-06
     404    12  4.170565700000e-06
     405    12  3.766889200000e-06
     406    12  5.417593300000e-06
     407    12  5.013794900000e-06
     408    12  5.507698800000e-06
     409    12  6.442960400000e-06
     410    12  9.632174900000e-06
     411    12  8.757459500000e-06
     412    12  8.018123000000e-06
     413    12  8.375878800000e-06
     414    12  9.950822900000e-06
     415    12  5.976178500000e-06
     416    12  8.166099500000e-06
     417    13  2.524346600000e-06
     418    13  2.971662200000e-06
     419    12  8.729923200000e-06
     420    12  8.542566000000e-06
     421    12  9.860525500000e-06
     422    12  7.848643900000e-06
     423    12  4.787383800000e-06
     424    12  3.881868700000e-06
     425    12  3.814317600000e-06
     426    12  4.677522900000e-06
     427    12  6.125305600000e-06
     428    12  6.113126600000e-06
     429    12  5.188288600000e-06
     430    12  5.868739800000e-06
     431    12  6.463103400000e-06
     432    12  8.044538900000e-06
     433    12  7.852594000000e-06
     434    12  8.279805700000e-06
     435    12  6.980569600000e-06
     436    13  2.992785100000e-06
     437    12  8.106765500000e-06
     438    13  3.216133500000e-06
     439    13  3.329095200000e-06
     440    13  2.691345700000e-06
     441    13  3.311980000000e-06
     442    12  9.620309400000e-06
     443    12  8.690708500000e-06
     444    12  6.611691300000e-06
     445    12  5.180130500000e-06
     446    12  4.649330500000e-06
     447    12  4.514456400000e-06
     448    12  5.806245400000e-06
     449    12  7.930233300000e-06
     450    12  5.348357700000e-06
     451    12  5.767010400000e-06
     452    12  7.345612900000e-06
     453    12  7.919404900000e-06
     454    12  7.295950100000e-06
     455    12  6.221724000000e-06
     456    12  6.176410400000e-06
     457    12  7.570737500000e-06
     458    12  9.000135400000e-06
     459    12  7.925865800000e-06
     460    12  8.085307400000e-06
     461    12  7.961633900000e-06
     462    12  8.411159600000e-06
     463    12  8.928269400000e-06
     464    12  7.860965200000e-06
     465    12  5.566886300000e-06
     466    12  5.550002000000e-06
     467    12  4.935340100000e-06
     468    12  5.515696000000e-06
     469    12  8.118290600000e-06
     470    12  7.582013000000e-06
     471    12  7.685623200000e-06
     472    12  6.960198100000e-06
     473    12  7.057772800000e-06
     474    12  6.683953200000e-06
     475    12  7.231371600000e-06
     476    12  6.478442400000e-06
     477    12  7.862810100000e-06
     478    12  6.975025000000e-06
     479    12  8.920885500000e-06
     480    12  9.987408400000e-06
     481    12  8.132685300000e-06
     482    12  9.565498300000e-06
     483    12  9.942307800000e-06
     484    12  5.556779200000e-06
     485    12  8.011670900000e-06
     486    12  6.191883400000e-06
     487    12  5.730073300000e-06
     488    12  5.551332700000e-06
     489    12  5.131664200000e-06
     490    12  8.658803300000e-06
     491    12  8.786669500000e-06
     492    12  7.638891800000e-06
     493    12  6.466800400000e-06
     494    12  7.214992600000e-06
     495    12  7.733708400000e-06
     496    12  6.355536300000e-06
     497    12  6.327544300000e-06
     498    12  8.258136600000e-06
     499    12  6.163097900000e-06
     500    12  9.290664600000e-06
     501    12  9.460843500000e-06
     502    12  8.237590400000e-06
     503    12  7.082311600000e-06
     504    12  7.615926500000e-06
     505    13  2.210636900000e-06
     506    13  1.894919300000e-06
     507    12  8.074273500000e-06
     508    12  7.957641400000e-06
     509    12  6.386909600000e-06
     510    12  6.396667200000e-06
     511    12  8.086884500000e-06
     512    12  7.502397000000e-06
     513    12  6.371069100000e-06
     514    12  4.743635400000e-06
     515    12  5.763413200000e-06
     516    12  6.560437800000e-06
     517    12  6.542431100000e-06
     518    12  7.719504200000e-06
     519    12  8.600855100000e-06
     520    12  6.103092300000e-06
     521    12  7.324827400000e-06
     522    12  7.705549100000e-06
     523    12  8.634472100000e-06
     524    12  8.669783200000e-06
     525    12  9.536555000000e-06
     526    13  3.176448500000e-06
     527    13  3.424672900000e-06
     528    12  8.868400700000e-06
     529    12  7.813602300000e-06
     530    12  6.885879000000e-06
     531    12  8.016419300000e-06
     532    12  9.709555500000e-06
     533    13  3.322437700000e-06
     534    12  8.133748300000e-06
     535    12  6.540513800000e-06
     536    12  7.202947100000e-06
     537    12  7.124873300000e-06
     538    12  6.918788300000e-06
     539    12  6.711975200000e-06
     540    12  7.321594200000e-06
     541    12  6.258178500000e-06
     542    12  6.758453300000e-06
     543    12  7.207439000000e-06
     544    12  6.534851600000e-06
     545    12  8.084187600000e-06
     546    12  9.075373900000e-06
     547    13  4.315353100000e-06
     548    13  4.079908100000e-06
     549    13  3.548153500000e-06
     550    12  9.927217000000e-06
     551    12  9.979103600000e-06
     552    12  9.704316700000e-06
     553    12  8.227916600000e-06
     554    12  7.654980800000e-06
     555    12  7.459874500000e-06
     556    12  5.723807300000e-06
     557    12  7.529934300000e-06
     558    12  8.204998800000e-06
     559    12  7.529986000000e-06
     560    12  7.102896900000e-06
     561    12  7.010421500000e-06
     562    12  5.863687200000e-06
     563    12  5.659446200000e-06
     564    12  6.297328000000e-06
     565    12  5.993609600000e-06
     566    12  6.611627400000e-06
     567    12  8.506730800000e-06
     568    12  9.957603000000e-06
     569    13  3.403757000000e-06
     570    12  9.539294500000e-06
     571    12  9.220407600000e-06
     572    12  9.280796000000e-06
     573    12  9.056913200000e-06
     574    12  7.381601100000e-06
     575    12  6.589037000000e-06
     576    12  6.608069000000e-06
     577    12  7.455636400000e-06
     578    12  9.083170000000e-06
     579    12  8.513134700000e-06
     580    12  7.968763500000e-06
     581    12  7.676915800000e-06
     582    12  8.771439900000e-06
     583    12  6.596205000000e-06
     584    12  6.726906100000e-06
     585    12  5.520089200000e-06
     586    12  6.139018100000e-06
     587    12  6.670143200000e-06
     588    12  8.575175200000e-06
     589    12  9.224469000000e-06
     590    13  3.165529400000e-06
     591    12  9.628946400000e-06
     592    12  9.291302100000e-06
     593    12  9.555380700000e-06
     594    12  9.108442300000e-06
     595    12  7.395140400000e-06
     596    12  6.008599500000e-06
     597    12  6.782360800000e-06
     598    12  8.171857900000e-06
     599    12  8.612356800000e-06
     600    12  7.829670500000e-06
     601    12  9.142916200000e-06
     602    12  8.356502600000e-06
     603    12  9.814911300000e-06
     604    12  7.205933400000e-06
     605    12  5.718409000000e-06
     606    12  5.725768100000e-06
     607    12  6.282862900000e-06
     608    12  6.214792900000e-06
     609    12  8.275787200000e-06
     610    12  8.236059500000e-06
     611    12  5.898186300000e-06
     612    12  5.712269700000e-06
     613    12  5.984136400000e-06
     614    12  6.928457700000e-06
     615    12  7.305052900000e-06
     616    12  6.863051100000e-06
     617    12  8.467513300000e-06
     618    12  8.556186200000e-06
     619    12  5.933406900000e-06
     620    12  8.691312600000e-06
     621    12  6.666263300000e-06
     622    12  6.887872800000e-06
     623    12  8.214216000000e-06
     624    13  3.853813500000e-06
     625    13  3.341063700000e-06
     626    12  9.094913100000e-06
     627    12  5.797169400000e-06
     628    12  5.511502400000e-06
     629    12  5.461304500000e-06
     630    12  5.041999600000e-06
     631    12  5.646852800000e-06
     632    12  4.506183900000e-06
     633    12  4.006978000000e-06
     634    12  4.081381400000e-06
     635    12  5.144846800000e-06
     636    12  6.577539000000e-06
     637    12  6.744543800000e-06
     638    12  6.549443100000e-06
     639    12  6.962755400000e-06
     640    12  6.226518000000e-06
     641    12  9.127699700000e-06
     642    12  9.533247500000e-06
     643    12  7.300941400000e-06
     644    12  8.943028100000e-06
     645    12  7.806223100000e-06
     646    12  5.855226200000e-06
     647    12  9.142382100000e-06
     648    12  6.281960700000e-06
     649    12  5.959969300000e-06
     650    12  5.862504800000e-06
     651    12  6.342895100000e-06
     652    12  7.634951800000e-06
     653    12  5.851407000000e-06
     654    12  4.513262600000e-06
     655    12  4.276009400000e-06
     656    12  4.675917100000e-06
     657    12  6.498045600000e-06
     658    12  7.888180700000e-06
     659    12  6.155264500000e-06
     660    12  7.440542400000e-06
     661    12  5.830240300000e-06
     662    12  7.235615300000e-06
     663    13  3.551835000000e-06
     664    12  6.478261300000e-06
     665    12  8.103288000000e-06
     666    12  7.262750800000e-06
     667    12  6.726176000000e-06
     668    13  3.494432100000e-06
     669    13  2.876745000000e-06
     670    12  8.816196700000e-06
     671    12  6.249860900000e-06
     672    12  6.412547900000e-06
     673    12  7.681273500000e-06
     674    12  5.606537000000e-06
     675    12  6.799263700000e-06
     676    12  5.485917400000e-06
     677    12  5.373426400000e-06
     678    12  4.818648700000e-06
     679    12  5.898547000000e-06
     680    12  5.275839500000e-06
     681    12  6.428541200000e-06
     682    12  4.950133300000e-06
     683    12  7.623321800000e-06
     684    12  8.719820500000e-06
     685    12  8.645986300000e-06
     686    12  9.222610000000e-06
     687    12  9.984193700000e-06
     688    12  8.585460500000e-06
     689    13  4.321226100000e-06
     690    13  2.936786900000e-06
     691    12  6.522445500000e-06
     692    12  5.537321700000e-06
     693    12  6.135709400000e-06
     694    12  9.559973900000e-06
     695    12  9.695904000000e-06
     696    12  6.802434100000e-06
