# call_index  Electronic(H)         Repulsive(H)          Total(H)
     331        -86.4429044349          0.8200287250        -85.6228757099
     332        -86.5816104535          0.9703747344        -85.6112357191
     333        -86.6918484476          1.0850090060        -85.6068394416
     334        -86.7364074558          1.1181376347        -85.6182698210
     335        -86.7064615854          1.0703170839        -85.6361445014
     336        -86.6290906212          1.0042135777        -85.6248770435
     337        -86.5353898365          0.9353584891        -85.6000313474
     338        -86.4560710231          0.8617519113        -85.5943191118
     339        -86.4250995392          0.8125759523        -85.6125235869
     340        -86.4620887255          0.8256389898        -85.6364497358
     341        -86.5634203592          0.9237030517        -85.6397173075
     342        -86.6935582150          1.0682553584        -85.6253028566
     343        -86.8014368377          1.1825328586        -85.6189039791
     344        -86.8494861657          1.2313971877        -85.6180889780
     345        -86.8183048838          1.1863782065        -85.6319266773
     346        -86.7218333426          1.0862430939        -85.6355902488
     347        -86.5923116273          0.9783380408        -85.6139735865
     348        -86.4614858400          0.8636714375        -85.5978144025
     349        -86.3624351376          0.7580733448        -85.6043617928
     350        -86.3231274110          0.6961306617        -85.6269967492
     351        -86.3553108593          0.7173093254        -85.6380015340
     352        -86.4413383034          0.8161714271        -85.6251668763
     353        -86.5368160953          0.9165913577        -85.6202247376
     354        -86.6060800131          0.9915101621        -85.6145698509
     355        -86.6229466625          1.0078525397        -85.6150941228
     356        -86.5807845108          0.9540005205        -85.6267839904
     357        -86.5045479384          0.8850786369        -85.6194693015
     358        -86.4218694179          0.8205210484        -85.6013483694
     359        -86.3571149829          0.7567303447        -85.6003846382
     360        -86.3356709691          0.7165227454        -85.6191482237
     361        -86.3732271101          0.7357056536        -85.6375214564
     362        -86.4636577961          0.8296928766        -85.6339649195
     363        -86.5707008253          0.9407917690        -85.6299090562
     364        -86.6583186752          1.0273071427        -85.6310115325
     365        -86.7020633489          1.0830238998        -85.6190394490
     366        -86.6816626863          1.0606108359        -85.6210518505
     367        -86.6083176476          0.9813266859        -85.6269909617
     368        -86.5121388776          0.8952565355        -85.6168823422
     369        -86.4212940394          0.8121960277        -85.6090980117
     370        -86.3623465173          0.7469742914        -85.6153722260
     371        -86.3556679915          0.7262841543        -85.6293838372
     372        -86.4070134763          0.7755539704        -85.6314595060
     373        -86.4941633236          0.8682507109        -85.6259126127
     374        -86.5811615089          0.9466353544        -85.6345261545
     375        -86.6475875630          1.0226545662        -85.6249329968
     376        -86.6714204579          1.0576527295        -85.6137677284
     377        -86.6435401328          1.0232495392        -85.6202905936
     378        -86.5847741976          0.9622533132        -85.6225208845
     379        -86.5213311296          0.9066167202        -85.6147144094
     380        -86.4744479644          0.8604058232        -85.6140421412
     381        -86.4628327084          0.8412853287        -85.6215473797
     382        -86.4950973873          0.8691502435        -85.6259471438
     383        -86.5603682612          0.9387369984        -85.6216312629
     384        -86.6264666852          0.9912801345        -85.6351865506
     385        -86.6746579508          1.0365298617        -85.6381280891
     386        -86.6892711796          1.0711514755        -85.6181197041
     387        -86.6514690729          1.0404627390        -85.6110063339
     388        -86.5687461725          0.9487843295        -85.6199618430
     389        -86.4690130766          0.8475595429        -85.6214535337
     390        -86.3788121831          0.7593707460        -85.6194414371
     391        -86.3210810494          0.7037502239        -85.6173308255
     392        -86.3097953088          0.6953943042        -85.6144010046
     393        -86.3435756405          0.7333618075        -85.6102138329
     394        -86.4004276714          0.7766323099        -85.6237953614
     395        -86.4601771720          0.8180821994        -85.6420949726
     396        -86.5100995832          0.8807129763        -85.6293866069
     397        -86.5282847307          0.9158742678        -85.6124104629
