#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
2900,2.8999999999997916,-45775.42675664032,16317.297458518498,280.5202677628228
2950,2.949999999999786,-45565.75712686406,16293.484944398195,280.1108928124602
3000,2.9999999999997806,-45414.44768163504,16300.311476404677,280.2282517434485
3050,3.049999999999775,-45466.28301760355,16478.922391297252,283.2988571423143
3100,3.0999999999997696,-45367.97158264101,16538.996389785443,284.33162462015997
3150,3.149999999999764,-45357.92494032439,16616.304162159628,285.66066805162797
3200,3.1999999999997586,-45357.03839573814,16701.57008498586,287.1265247330462
3250,3.249999999999753,-45466.86143409691,16867.88962880238,289.98582193493945
3300,3.2999999999997476,-45412.077688604135,16829.529597968485,289.32635205959576
3350,3.349999999999742,-45166.92253348089,16765.864839475624,288.2318537123741
3400,3.3999999999997366,-45143.28096267996,16768.263392211695,288.2730886446585
3450,3.449999999999731,-44974.65295238479,16687.688804318863,286.8878834642028
3500,3.4999999999997256,-45316.24180779397,17141.089055802677,294.682554136433
3550,3.54999999999972,-44841.13121982145,16659.42577371636,286.40199706465916
3600,3.5999999999997145,-44972.709710041134,16776.293103554497,288.4111321400147
3650,3.649999999999709,-45343.144214894484,17240.558308700325,296.3925886276195
3700,3.6999999999997035,-44800.53048169064,16801.50708410233,288.844600524876
3750,3.749999999999698,-45184.44610597686,17243.8119189245,296.44852335661506
3800,3.7999999999996925,-44902.19571424361,17057.191224993487,293.24021713037274
3850,3.849999999999687,-44702.7735082312,16849.679388629673,289.672758974467
3900,3.8999999999996815,-45006.01711765655,17130.662166088667,294.503299336308
3950,3.949999999999676,-45071.57892101299,17277.199543861672,297.0225096745791
4000,3.9999999999996705,-44869.1855093469,17044.37448581131,293.0198770209661
4050,4.049999999999687,-44771.49843913775,16914.68715414599,290.79034574615264
4100,4.099999999999704,-44981.30232400566,17046.946660063753,293.0640967829618
4150,4.149999999999721,-44986.67655842478,17080.81416416422,293.6463329861611
4200,4.199999999999737,-44807.0267601636,17047.79847228436,293.0787407883687
4250,4.249999999999754,-44713.58729372418,16811.372482238963,289.0142023927043
4300,4.299999999999771,-44532.94581589345,16850.269885524907,289.6829105542605
