# CDFTB-CI Spectral Densities
# nu(cm-1)      SD_J(cm-1)      SD_dE1(cm-1)    SD_dE2(cm-1)
   1102.6533       -0.394598      806.225566      946.817968
   1106.6593       -0.000461     1413.520715     1595.508660
   1110.6653        1.045519     2264.865221     2458.903742
   1114.6713        1.780713     3060.194938     3251.088658
   1118.6774        1.688923     1848.577830     2220.956659
   1122.6834        1.671422      849.910714     1056.918085
   1126.6894        1.755921      451.772268      558.241430
   1130.6954        0.784484      204.747811      281.867655
   1134.7014        0.955377      121.786865      135.350409
   1138.7074        1.611613      120.572365      136.798603
   1142.7134        0.755068       98.276411      124.893353
   1146.7194        1.357669      116.846802      137.563100
   1150.7255        0.887879      183.797347      195.987048
   1154.7315        2.501808      346.686218      592.774189
   1158.7375        3.702163      802.975318      985.845865
   1162.7435        2.127773      790.315702      973.114811
   1166.7495        2.228742      970.771254     1142.414094
   1170.7555        2.180231     1423.104065     1154.361368
   1174.7615        3.147518     1969.468886     1259.904999
   1178.7675        1.874818     1441.600362     1073.160714
   1182.7735        3.313892     1207.658353     1171.185412
   1186.7796        2.775202     1403.007126     1394.470614
   1190.7856        7.149973     2275.130566     3087.626955
   1194.7916        6.529570     2411.623822     2794.005598
   1198.7976        1.872327      948.130759      947.891208
   1202.8036        0.920359      304.692552      304.054616
   1206.8096        1.115047      151.822424      182.304124
   1210.8156        1.097520      121.268318      128.775554
   1214.8216        1.011099      112.196645      106.805717
   1218.8277        0.952377      104.742567      113.452462
   1222.8337        0.722139      231.322241      264.876992
   1226.8397        0.872848     1137.119000     1344.248943
   1230.8457        1.011037     1869.945688     1856.567732
   1234.8517        0.606655      418.994997      413.865049
   1238.8577        0.700335      164.101774      159.297167
   1242.8637        0.701264      265.937750      328.856983
   1246.8697        0.810264      201.341716      243.482779
   1250.8758        1.055399      113.353788      140.524230
   1254.8818        0.840284       53.854911       82.349291
   1258.8878        0.831484       39.691080       46.922813
   1262.8938        0.734854       31.058327       30.415572
   1266.8998        1.631289       24.687714       22.980451
   1270.9058        1.057474       24.767826       22.612811
   1274.9118        0.839842       27.287950       27.175549
   1278.9178        0.671915       29.267100       26.386066
   1282.9238        0.886028       33.677999       29.574438
   1286.9299        0.579410       47.296907       47.388796
   1290.9359        1.127569       86.702794      101.666947
   1294.9419        0.823669       42.797248       38.009417
   1298.9479        0.818017       23.702402       26.172365
   1302.9539        0.478241       23.087885       22.049566
   1306.9599        0.958045       18.653306       22.567577
   1310.9659        0.636670       20.896848       26.926762
   1314.9719        0.729695       24.147693       28.306475
   1318.9780        1.004295       23.644707       26.387763
   1322.9840        0.728770       29.180735       32.665301
   1326.9900        0.701521       52.303998       66.315600
   1330.9960        1.092649      195.145695      256.775276
   1335.0020        1.127121       66.834733       74.125622
   1339.0080        1.020527       60.571052       69.682171
   1343.0140        0.827662       78.788500       74.499003
   1347.0200        1.241179       82.763290      105.529887
