# call_index  Electronic(H)         Repulsive(H)          Total(H)
     214        -86.5103777620          0.8197442616        -85.6906335004
     215        -86.5220373981          0.8311787509        -85.6908586472
     216        -86.5305776436          0.8367123107        -85.6938653329
     217        -86.5342267118          0.8350863806        -85.6991403312
     218        -86.5332593553          0.8280184356        -85.7052409197
     219        -86.5306266385          0.8228316756        -85.7077949629
     220        -86.5299130823          0.8247187973        -85.7051942850
     221        -86.5321642805          0.8292303880        -85.7029338925
     222        -86.5374173324          0.8324503523        -85.7049669801
     223        -86.5461275502          0.8376075005        -85.7085200496
     224        -86.5581462526          0.8500541097        -85.7080921428
     225        -86.5706399965          0.8671937250        -85.7034462715
     226        -86.5794931030          0.8805928166        -85.6989002865
     227        -86.5816972846          0.8832006164        -85.6984966682
     228        -86.5770092272          0.8746585313        -85.7023506958
     229        -86.5683987661          0.8615979819        -85.7068007842
     230        -86.5605443206          0.8555462075        -85.7049981130
     231        -86.5556603269          0.8568429691        -85.6988173578
     232        -86.5532715481          0.8580270688        -85.6952444792
     233        -86.5527146428          0.8557256765        -85.6969889664
     234        -86.5542459474          0.8549075788        -85.6993383686
     235        -86.5571680825          0.8598204314        -85.6973476512
     236        -86.5582391029          0.8657363961        -85.6925027068
     237        -86.5535308007          0.8635678238        -85.6899629769
     238        -86.5408815044          0.8480636879        -85.6928178165
     239        -86.5213446307          0.8212948523        -85.7000497784
     240        -86.4999461528          0.7952136086        -85.7047325442
     241        -86.4821613013          0.7798732264        -85.7022880749
     242        -86.4697550794          0.7711007524        -85.6986543269
     243        -86.4623807390          0.7615913215        -85.7007894175
     244        -86.4598094039          0.7519788801        -85.7078305237
     245        -86.4624624321          0.7508437385        -85.7116186936
     246        -86.4690254245          0.7619636430        -85.7070617815
     247        -86.4754959329          0.7775382454        -85.6979576875
     248        -86.4775235177          0.7852381218        -85.6922853959
     249        -86.4730458281          0.7787434670        -85.6943023611
     250        -86.4643810169          0.7638840549        -85.7004969620
     251        -86.4573854049          0.7567042406        -85.7006811643
     252        -86.4558491683          0.7614889215        -85.6943602468
     253        -86.4598941954          0.7694700360        -85.6904241595
     254        -86.4685179507          0.7734713254        -85.6950466252
     255        -86.4815575913          0.7774561393        -85.7041014520
     256        -86.4988478504          0.7905040338        -85.7083438166
     257        -86.5175243031          0.8130438593        -85.7044804437
     258        -86.5322780534          0.8339802860        -85.6982977673
     259        -86.5383218860          0.8405139013        -85.6978079848
     260        -86.5343540629          0.8290178254        -85.7053362375
     261        -86.5249968445          0.8130715865        -85.7119252580
     262        -86.5166664069          0.8084735260        -85.7081928808
     263        -86.5118103857          0.8131226546        -85.6986877310
     264        -86.5096352087          0.8153149527        -85.6943202559
     265        -86.5091376332          0.8097674476        -85.6993701856
     266        -86.5107903276          0.8038462620        -85.7069440657
     267        -86.5146978116          0.8068542567        -85.7078435549
     268        -86.5181334001          0.8169020544        -85.7012313457
     269        -86.5165068888          0.8211831931        -85.6953236957
     270        -86.5066545966          0.8085140616        -85.6981405350
     271        -86.4902641730          0.7817847510        -85.7084794221
     272        -86.4745515845          0.7613037726        -85.7132478120
     273        -86.4655430044          0.7586785476        -85.7068644568
     274        -86.4644200822          0.7669544207        -85.6974656616
     275        -86.4695738867          0.7738693065        -85.6957045802
     276        -86.4796508814          0.7772867523        -85.7023641291
     277        -86.4941251531          0.7858513317        -85.7082738214
     278        -86.5110032627          0.8056060142        -85.7053972485
     279        -86.5252746553          0.8291778424        -85.6960968129
     280        -86.5311760239          0.8407808606        -85.6903951632
     281        -86.5255376947          0.8295060768        -85.6960316179
     282        -86.5118211813          0.8042141745        -85.7076070067
     283        -86.4980743287          0.7871887492        -85.7108855796
     284        -86.4891181304          0.7848093316        -85.7043087988
     285        -86.4851130997          0.7869232844        -85.6981898153
     286        -86.4845303222          0.7836159517        -85.7009143705
     287        -86.4870169724          0.7783013218        -85.7087156506
     288        -86.4927234753          0.7817627094        -85.7109607659
     289        -86.4998467290          0.7975368639        -85.7023098651
     290        -86.5038148667          0.8145310372        -85.6892838295
     291        -86.5003163415          0.8169378256        -85.6833785160
     292        -86.4886226932          0.7979849149        -85.6906377783
     293        -86.4748016135          0.7737526451        -85.7010489684
     294        -86.4666460361          0.7639734872        -85.7026725490
     295        -86.4670583546          0.7690905635        -85.6979677910
     296        -86.4747732171          0.7773560898        -85.6974171273
     297        -86.4874951039          0.7817364494        -85.7057586545
     298        -86.5039862677          0.7884811716        -85.7155050961
     299        -86.5225206543          0.8069130175        -85.7156076369
     300        -86.5386837143          0.8347904158        -85.7038932985
     301        -86.5461540970          0.8558266533        -85.6903274437
     302        -86.5403903553          0.8524845934        -85.6879057619
     303        -86.5234330149          0.8257187285        -85.6977142864
     304        -86.5038813949          0.7978236451        -85.7060577499
     305        -86.4888208510          0.7829163597        -85.7059044913
     306        -86.4803510314          0.7779112838        -85.7024397476
     307        -86.4772501572          0.7727115897        -85.7045385675
     308        -86.4781730773          0.7653900026        -85.7127830747
     309        -86.4827833414          0.7642988168        -85.7184845246
     310        -86.4897762809          0.7760580765        -85.7137182044
     311        -86.4953860553          0.7942527256        -85.7011333298
     312        -86.4952917214          0.8034711330        -85.6918205884
     313        -86.4883293522          0.7934693777        -85.6948599745
     314        -86.4798155149          0.7754307606        -85.7043847543
     315        -86.4780629973          0.7701330964        -85.7079299009
     316        -86.4872784199          0.7838456568        -85.7034327631
     317        -86.5065180763          0.8078675201        -85.6986505562
     318        -86.5319133716          0.8308128778        -85.7011004937
     319        -86.5600704069          0.8516799531        -85.7083904539
     320        -86.5884425927          0.8776008825        -85.7108417102
     321        -86.6131395365          0.9101090208        -85.7030305157
     322        -86.6284947429          0.9375059680        -85.6909887750
     323        -86.6294593955          0.9423503212        -85.6871090743
     324        -86.6161879949          0.9197543012        -85.6964336936
     325        -86.5961122131          0.8886187191        -85.7074934940
     326        -86.5774807338          0.8676741603        -85.7098065735
     327        -86.5639798077          0.8596537699        -85.7043260378
     328        -86.5548358827          0.8550848189        -85.6997510639
     329        -86.5475457572          0.8458379220        -85.7017078352
     330        -86.5407025012          0.8344095532        -85.7062929481
     331        -86.5336094654          0.8284202388        -85.7051892266
     332        -86.5242440464          0.8275380829        -85.6967059636
     333        -86.5095336165          0.8209165225        -85.6886170939
     334        -86.4879881531          0.7962671064        -85.6917210467
     335        -86.4641047701          0.7604554290        -85.7036493411
     336        -86.4465962282          0.7344880712        -85.7121081570
     337        -86.4417363872          0.7307284249        -85.7110079623
     338        -86.4505711178          0.7459281996        -85.7046429182
     339        -86.4696763354          0.7678789742        -85.7017973612
     340        -86.4942520552          0.7885577082        -85.7056943470
     341        -86.5206332325          0.8105057471        -85.7101274854
     342        -86.5453320013          0.8381033430        -85.7072286583
     343        -86.5638081107          0.8662586126        -85.6975494981
     344        -86.5708504798          0.8794516953        -85.6913987845
     345        -86.5649118971          0.8677988204        -85.6971130767
     346        -86.5515340825          0.8447887218        -85.7067453607
     347        -86.5383784545          0.8283829734        -85.7099954811
     348        -86.5305980998          0.8263724224        -85.7042256774
     349        -86.5289413454          0.8327127923        -85.6962285532
     350        -86.5309720143          0.8362051338        -85.6947668805
     351        -86.5342896441          0.8333583748        -85.7009312692
     352        -86.5379783465          0.8316573913        -85.7063209553
     353        -86.5407200599          0.8374655309        -85.7032545290
     354        -86.5398205616          0.8460573517        -85.6937632098
     355        -86.5318182998          0.8417188540        -85.6900994457
     356        -86.5185285471          0.8227519805        -85.6957765666
     357        -86.5069850710          0.8048752363        -85.7021098348
     358        -86.5035423721          0.8010776856        -85.7024646865
     359        -86.5113704226          0.8147047029        -85.6966657197
     360        -86.5289538272          0.8373919152        -85.6915619120
     361        -86.5516191856          0.8570959838        -85.6945232018
     362        -86.5749014789          0.8703664581        -85.7045350208
     363        -86.5953089485          0.8829043973        -85.7124045511
     364        -86.6092327218          0.8980596752        -85.7111730466
     365        -86.6121771325          0.9078417956        -85.7043353370
     366        -86.6010454309          0.8979156085        -85.7031298223
     367        -86.5797185131          0.8732970383        -85.7064214748
     368        -86.5551962589          0.8463714742        -85.7088247846
     369        -86.5336533129          0.8271168825        -85.7065364304
     370        -86.5183349980          0.8176958871        -85.7006391109
     371        -86.5085210570          0.8113359415        -85.6971851156
     372        -86.5016021196          0.8001808724        -85.7014212472
     373        -86.4958846071          0.7856846494        -85.7101999577
     374        -86.4908251370          0.7764158099        -85.7144093271
     375        -86.4855481813          0.7763119899        -85.7092361914
     376        -86.4769102179          0.7734651116        -85.7034451063
     377        -86.4651006394          0.7614149689        -85.7036856705
     378        -86.4553955923          0.7494284258        -85.7059671664
     379        -86.4525244436          0.7452356617        -85.7072887820
     380        -86.4598839802          0.7551780294        -85.7047059508
     381        -86.4772886488          0.7780131342        -85.6992755146
     382        -86.5004047582          0.8038617006        -85.6965430576
     383        -86.5234579529          0.8227806089        -85.7006773440
     384        -86.5422430597          0.8347110382        -85.7075320215
     385        -86.5545526736          0.8454330455        -85.7091196281
     386        -86.5583759797          0.8546310242        -85.7037449554
     387        -86.5517437432          0.8518436181        -85.6999001251
     388        -86.5379689501          0.8388964163        -85.6990725338
     389        -86.5228979435          0.8231900829        -85.6997078607
     390        -86.5112932712          0.8108061667        -85.7004871045
     391        -86.5065213444          0.8073423538        -85.6991789906
     392        -86.5081484106          0.8113385164        -85.6968098942
     393        -86.5123773811          0.8147242029        -85.6976531783
     394        -86.5149316955          0.8117334212        -85.7031982743
     395        -86.5133664270          0.8049522089        -85.7084142182
     396        -86.5069325254          0.7994086808        -85.7075238445
     397        -86.4942900651          0.7895916537        -85.7046984115
     398        -86.4772007451          0.7730629927        -85.7041377524
     399        -86.4620339751          0.7590525833        -85.7029813918
     400        -86.4537970732          0.7508482671        -85.7029488061
     401        -86.4558738082          0.7514738288        -85.7043999794
     402        -86.4694440512          0.7642410516        -85.7052029996
     403        -86.4915589099          0.7864898609        -85.7050690489
     404        -86.5160457738          0.8096449719        -85.7064008020
     405        -86.5364162362          0.8270568787        -85.7093593576
     406        -86.5483090177          0.8378767506        -85.7104322672
     407        -86.5496289950          0.8418683985        -85.7077605965
     408        -86.5401610131          0.8346148648        -85.7055461484
     409        -86.5247352036          0.8219627939        -85.7027724097
     410        -86.5098721743          0.8102637511        -85.6996084232
     411        -86.5001291973          0.8006668421        -85.6994623552
     412        -86.4991628857          0.7978635264        -85.7012993593
     413        -86.5078250588          0.8061087438        -85.7017163150
     414        -86.5224183990          0.8221668777        -85.7002515213
     415        -86.5363577076          0.8371246643        -85.6992330433
     416        -86.5431915513          0.8435009039        -85.6996906474
     417        -86.5390559268          0.8389619976        -85.7000939292
     418        -86.5228806285          0.8217707291        -85.7011098994
     419        -86.4984616783          0.7975489959        -85.7009126824
     420        -86.4737670830          0.7779746648        -85.6957924182
     421        -86.4550673452          0.7649774999        -85.6900898452
     422        -86.4464132205          0.7578300667        -85.6885831538
     423        -86.4504153094          0.7607597038        -85.6896556055
     424        -86.4659630967          0.7761190710        -85.6898440257
     425        -86.4875282845          0.7987217254        -85.6888065591
     426        -86.5071856782          0.8185632529        -85.6886224254
     427        -86.5175132640          0.8266856850        -85.6908275790
     428        -86.5142860630          0.8189292091        -85.6953568539
     429        -86.4981143759          0.7968180316        -85.7012963443
     430        -86.4754456594          0.7727112972        -85.7027343622
     431        -86.4541047010          0.7548485076        -85.6992561934
     432        -86.4395003827          0.7418998996        -85.6976004831
     433        -86.4359971861          0.7354230095        -85.7005741766
     434        -86.4464274055          0.7421612581        -85.7042661475
     435        -86.4692738110          0.7644025805        -85.7048712304
     436        -86.4986861323          0.7960608195        -85.7026253128
     437        -86.5264820064          0.8256951286        -85.7007868778
     438        -86.5450437363          0.8428394799        -85.7022042564
     439        -86.5499274657          0.8417173180        -85.7082101477
     440        -86.5429345899          0.8289870246        -85.7139475653
     441        -86.5311077295          0.8189704968        -85.7121372328
     442        -86.5212091943          0.8157144708        -85.7054947235
     443        -86.5185275509          0.8174614793        -85.7010660716
     444        -86.5273118578          0.8267662952        -85.7005455626
     445        -86.5489653687          0.8484802340        -85.7004851347
     446        -86.5799163504          0.8818921497        -85.6980242007
     447        -86.6122217409          0.9183542441        -85.6938674968
     448        -86.6359898277          0.9443440283        -85.6916457994
     449        -86.6428050560          0.9477338662        -85.6950711897
     450        -86.6298759762          0.9254525168        -85.7044234593
     451        -86.6024970751          0.8918489330        -85.7106481421
     452        -86.5696303921          0.8611284681        -85.7085019240
     453        -86.5389188645          0.8353334698        -85.7035853947
     454        -86.5167180199          0.8140571253        -85.7026608946
     455        -86.5079580452          0.8026808102        -85.7052772350
     456        -86.5137544349          0.8072310201        -85.7065234148
     457        -86.5298935975          0.8267342576        -85.7031593400
     458        -86.5477808579          0.8508009618        -85.6969798961
     459        -86.5573741520          0.8639836071        -85.6933905448
     460        -86.5510041153          0.8535691679        -85.6974349474
     461        -86.5287225885          0.8235207781        -85.7052018104
     462        -86.4978385880          0.7918892562        -85.7059493318
     463        -86.4667033043          0.7673930402        -85.6993102641
     464        -86.4421577021          0.7481796190        -85.6939780831
     465        -86.4301904874          0.7348143697        -85.6953761176
     466        -86.4349010983          0.7342714380        -85.7006296602
     467        -86.4556606695          0.7519659463        -85.7036947232
     468        -86.4862860945          0.7852398772        -85.7010462173
     469        -86.5164965911          0.8214940345        -85.6950025566
     470        -86.5351943151          0.8430450299        -85.6921492852
     471        -86.5357553630          0.8383100764        -85.6974452865
     472        -86.5211199498          0.8178862892        -85.7032336607
     473        -86.4997558010          0.7980045071        -85.7017512939
     474        -86.4800514312          0.7837880810        -85.6962633501
     475        -86.4690790345          0.7737911059        -85.6952879286
     476        -86.4725668729          0.7711913339        -85.7013755390
     477        -86.4933863240          0.7840727838        -85.7093135402
     478        -86.5290551945          0.8170048935        -85.7120503010
     479        -86.5713194518          0.8643690151        -85.7069504367
     480        -86.6080628166          0.9093416620        -85.6987211546
     481        -86.6270332814          0.9306825789        -85.6963507025
     482        -86.6231672361          0.9210835077        -85.7020837285
     483        -86.6016347176          0.8968074431        -85.7048272744
