# call_index  Electronic(H)         Repulsive(H)          Total(H)
      65        -86.4868804852          0.7992287834        -85.6876517019
      66        -86.4958988892          0.8022124136        -85.6936864756
      67        -86.5096013259          0.8163780010        -85.6932233249
      68        -86.5215904661          0.8337458106        -85.6878446554
      69        -86.5245546296          0.8395464833        -85.6850081463
      70        -86.5144093224          0.8251388842        -85.6892704383
      71        -86.4932878826          0.7971271298        -85.6961607528
      72        -86.4679152540          0.7704927017        -85.6974225523
      73        -86.4448970361          0.7525988251        -85.6922982109
      74        -86.4291208757          0.7416829142        -85.6874379616
      75        -86.4240442766          0.7353415927        -85.6887026839
      76        -86.4316200440          0.7368697845        -85.6947502595
      77        -86.4512748328          0.7521984398        -85.6990763929
      78        -86.4787444239          0.7811861662        -85.6975582578
      79        -86.5064196637          0.8130586002        -85.6933610635
      80        -86.5267116673          0.8337081991        -85.6930034682
      81        -86.5360596243          0.8377464891        -85.6983131352
      82        -86.5366968251          0.8334143681        -85.7032824570
      83        -86.5341820675          0.8327813647        -85.7014007027
      84        -86.5333209319          0.8392856654        -85.6940352666
      85        -86.5374083982          0.8496790847        -85.6877293135
      86        -86.5485251593          0.8617915001        -85.6867336592
      87        -86.5674132724          0.8783945501        -85.6890187223
      88        -86.5923409073          0.9025567317        -85.6897841756
      89        -86.6183235396          0.9306534287        -85.6876701109
      90        -86.6380610173          0.9510918297        -85.6869691876
      91        -86.6454550505          0.9531979747        -85.6922570758
      92        -86.6389336095          0.9366682104        -85.7022653990
      93        -86.6223041991          0.9126571203        -85.7096470788
      94        -86.6013890611          0.8916470680        -85.7097419932
      95        -86.5809536751          0.8754780062        -85.7054756689
      96        -86.5646159495          0.8620121717        -85.7026037778
      97        -86.5548968200          0.8515294596        -85.7033673604
      98        -86.5526768660          0.8479233713        -85.7047534947
      99        -86.5562118604          0.8534254315        -85.7027864289
     100        -86.5606412057          0.8628610963        -85.6977801093
     101        -86.5595616644          0.8648968342        -85.6946648302
     102        -86.5484817026          0.8512315568        -85.6972501458
     103        -86.5275788326          0.8241532713        -85.7034255614
     104        -86.5017231480          0.7950639621        -85.7066591859
     105        -86.4768586456          0.7722577149        -85.7046009307
     106        -86.4578140447          0.7570175654        -85.7007964793
     107        -86.4479673860          0.7483497644        -85.6996176215
     108        -86.4491122105          0.7480276318        -85.7010845787
     109        -86.4608163116          0.7596577575        -85.7011585541
     110        -86.4794320469          0.7826893583        -85.6967426886
     111        -86.4982416796          0.8083909713        -85.6898507083
     112        -86.5098630471          0.8239398260        -85.6859232211
     113        -86.5099756269          0.8224930670        -85.6874825598
     114        -86.4997612217          0.8090447160        -85.6907165057
     115        -86.4844836187          0.7941355936        -85.6903480251
     116        -86.4697258533          0.7825581114        -85.6871677419
     117        -86.4600765943          0.7737166676        -85.6863599267
     118        -86.4589838041          0.7678660806        -85.6911177235
     119        -86.4682800601          0.7694902395        -85.6987898206
     120        -86.4871765680          0.7837522987        -85.7034242693
     121        -86.5114816756          0.8096438878        -85.7018377878
     122        -86.5341178979          0.8370581994        -85.6970596986
     123        -86.5480106512          0.8532464254        -85.6947642258
     124        -86.5498816966          0.8534945350        -85.6963871616
     125        -86.5418645430          0.8445504854        -85.6973140576
     126        -86.5291503724          0.8355473890        -85.6936029834
     127        -86.5169478832          0.8294171868        -85.6875306963
     128        -86.5094906177          0.8251486510        -85.6843419667
     129        -86.5097185067          0.8233935160        -85.6863249906
     130        -86.5186280816          0.8282108575        -85.6904172241
     131        -86.5342233031          0.8424905267        -85.6917327763
