# call_index  Electronic(H)         Repulsive(H)          Total(H)
      38        -86.4801318128          0.7938503983        -85.6862814145
      39        -86.4732952095          0.7796643068        -85.6936309027
      40        -86.4751423768          0.7748373032        -85.7003050736
      41        -86.4832369350          0.7825818007        -85.7006551343
      42        -86.4918522316          0.7946379648        -85.6972142669
      43        -86.4943219648          0.7964426640        -85.6978793009
      44        -86.4881666395          0.7836067544        -85.7045598851
      45        -86.4767348783          0.7668709483        -85.7098639300
      46        -86.4653547222          0.7578475851        -85.7075071371
      47        -86.4582397202          0.7590415009        -85.6991982193
      48        -86.4576658780          0.7652794872        -85.6923863908
      49        -86.4645246659          0.7718777198        -85.6926469461
      50        -86.4789891386          0.7809656788        -85.6980234598
      51        -86.4998022864          0.7984888895        -85.7013133970
      52        -86.5226836193          0.8238022775        -85.6988813418
      53        -86.5408060028          0.8457290342        -85.6950769686
      54        -86.5478311033          0.8504684990        -85.6973626043
      55        -86.5429108645          0.8379615696        -85.7049492949
      56        -86.5307143586          0.8213202736        -85.7093940850
      57        -86.5170260181          0.8114865228        -85.7055394953
      58        -86.5061455086          0.8095293578        -85.6966161508
      59        -86.5004962831          0.8102846466        -85.6902116364
      60        -86.5013780991          0.8107487099        -85.6906293892
      61        -86.5094157843          0.8144972591        -85.6949185252
      62        -86.5235892742          0.8267460079        -85.6968432662
      63        -86.5400199301          0.8453500113        -85.6946699188
      64        -86.5527376516          0.8590842485        -85.6936534031
      65        -86.5568822059          0.8573182664        -85.6995639396
      66        -86.5527722942          0.8436478653        -85.7091244289
      67        -86.5447689518          0.8307715302        -85.7139974215
      68        -86.5373228343          0.8265937317        -85.7107291026
      69        -86.5328975885          0.8289603275        -85.7039372611
      70        -86.5321157643          0.8315146122        -85.7006011521
      71        -86.5349081149          0.8320753245        -85.7028327904
      72        -86.5407021534          0.8345627108        -85.7061394427
      73        -86.5475371679          0.8425532273        -85.7049839406
      74        -86.5514098408          0.8518905998        -85.6995192411
      75        -86.5471904383          0.8511387791        -85.6960516592
      76        -86.5323788601          0.8335828965        -85.6987959637
      77        -86.5095010360          0.8057710599        -85.7037299761
      78        -86.4838067034          0.7795024252        -85.7043042783
      79        -86.4603509764          0.7612909348        -85.6990600416
      80        -86.4424653594          0.7493120162        -85.6931533432
      81        -86.4320151193          0.7395783856        -85.6924367337
      82        -86.4301698917          0.7329936042        -85.6971762875
      83        -86.4366593132          0.7343865445        -85.7022727687
      84        -86.4487487672          0.7457093299        -85.7030394373
      85        -86.4612673589          0.7609302769        -85.7003370820
      86        -86.4684261166          0.7689410250        -85.6994850916
      87        -86.4677599437          0.7652645010        -85.7024954427
      88        -86.4615915193          0.7564764115        -85.7051151078
      89        -86.4544891073          0.7517385603        -85.7027505471
      90        -86.4505852644          0.7545014908        -85.6960837736
      91        -86.4521452103          0.7615549263        -85.6905902840
      92        -86.4600891585          0.7695266316        -85.6905625269
      93        -86.4744669745          0.7798464942        -85.6946204802
      94        -86.4935418943          0.7955399262        -85.6980019681
      95        -86.5132437447          0.8154737816        -85.6977699630
      96        -86.5275788081          0.8309597038        -85.6966191044
      97        -86.5312947824          0.8316060306        -85.6996887518
      98        -86.5236584089          0.8169808817        -85.7066775272
      99        -86.5086747763          0.7969993740        -85.7116754023
     100        -86.4919825693          0.7820107446        -85.7099718247
     101        -86.4782382162          0.7752236429        -85.7030145733
     102        -86.4700690491          0.7735734297        -85.6964956194
     103        -86.4688547715          0.7748449516        -85.6940098199
     104        -86.4748884603          0.7807908023        -85.6940976580
     105        -86.4863638897          0.7932143758        -85.6931495139
     106        -86.4992854314          0.8093516093        -85.6899338221
     107        -86.5080362079          0.8201523128        -85.6878838951
     108        -86.5082114084          0.8173582285        -85.6908531798
     109        -86.5000077377          0.8034635187        -85.6965442190
     110        -86.4876688931          0.7887815986        -85.6988872945
     111        -86.4764052850          0.7812461530        -85.6951591321
     112        -86.4700414200          0.7810517429        -85.6889896770
     113        -86.4701709859          0.7838057741        -85.6863652119
     114        -86.4771657548          0.7884843280        -85.6886814268
     115        -86.4898706534          0.7977630020        -85.6921076515
     116        -86.5049410044          0.8126522342        -85.6922887703
     117        -86.5171451304          0.8280046941        -85.6891404363
     118        -86.5205150494          0.8329067365        -85.6876083128
     119        -86.5116502945          0.8200980141        -85.6915522804
     120        -86.4924684658          0.7947062031        -85.6977622628
     121        -86.4687114344          0.7688246401        -85.6998867943
     122        -86.4466516664          0.7506565446        -85.6959951218
     123        -86.4308560550          0.7401466849        -85.6907093702
     124        -86.4238576765          0.7340459953        -85.6898116812
     125        -86.4270932214          0.7337038760        -85.6933893454
     126        -86.4399237924          0.7429173250        -85.6970064674
     127        -86.4590179307          0.7624032538        -85.6966146769
     128        -86.4787731254          0.7859541778        -85.6928189476
     129        -86.4926679027          0.8017276598        -85.6909402429
     130        -86.4968103916          0.8024745093        -85.6943358823
     131        -86.4922461506          0.7926676797        -85.6995784709
     132        -86.4831522130          0.7817953337        -85.7013568793
     133        -86.4741288465          0.7752370202        -85.6988918263
     134        -86.4684864715          0.7717173746        -85.6967690969
     135        -86.4684960196          0.7693882067        -85.6991078128
     136        -86.4756313430          0.7710544264        -85.7045769166
     137        -86.4889813023          0.7800078610        -85.7089734414
     138        -86.5051547819          0.7962219366        -85.7089328453
     139        -86.5187719542          0.8131522257        -85.7056197285
     140        -86.5243742865          0.8204028016        -85.7039714849
