# call_index  Electronic(H)         Repulsive(H)          Total(H)
     232        -86.4913046273          0.7891066007        -85.7021980266
     236        -86.5300675195          0.8317555847        -85.6983119349
     240        -86.5482191007          0.8487375972        -85.6994815035
     244        -86.5158058163          0.8165226959        -85.6992831205
     248        -86.5096936530          0.8120285407        -85.6976651123
     252        -86.4323705450          0.7252746029        -85.7070959421
     256        -86.4350273952          0.7406440263        -85.6943833689
     260        -86.5144334830          0.8262187494        -85.6882147336
     264        -86.4924931865          0.7934827450        -85.6990104415
     268        -86.5062814005          0.8202939868        -85.6859874136
     272        -86.5053707025          0.8199215634        -85.6854491391
     276        -86.4873637740          0.7938824076        -85.6934813664
     280        -86.5649790998          0.8677641464        -85.6972149534
     284        -86.5492462657          0.8448254463        -85.7044208194
     288        -86.4994180465          0.8035381591        -85.6958798874
     292        -86.4866442134          0.7991741545        -85.6874700589
     296        -86.4284328221          0.7344650408        -85.6939677813
     300        -86.4810647768          0.7745582804        -85.7065064964
     304        -86.5293711496          0.8154165024        -85.7139546472
     308        -86.4952152504          0.7949718441        -85.7002434063
     312        -86.5241443705          0.8248144835        -85.6993298870
     316        -86.5148825851          0.8111558778        -85.7037267073
     320        -86.5233717865          0.8216797261        -85.7016920604
     324        -86.5547573400          0.8501709691        -85.7045863709
     328        -86.4770004985          0.7731739164        -85.7038265821
     332        -86.4442659155          0.7437343380        -85.7005315775
     336        -86.4396030943          0.7437758217        -85.6958272726
     340        -86.4224554359          0.7263998423        -85.6960555936
     344        -86.4853324034          0.7933000178        -85.6920323856
     348        -86.4980832508          0.8074796544        -85.6906035963
     352        -86.4726747236          0.7795312282        -85.6931434954
     356        -86.5066240409          0.8093468604        -85.6972771805
     360        -86.5137909246          0.8028611460        -85.7109297785
     364        -86.5301577258          0.8281394939        -85.7020182319
     368        -86.5282332449          0.8312405852        -85.6969926597
     372        -86.4554945187          0.7506587340        -85.7048357847
     376        -86.4435756615          0.7408968646        -85.7026787969
     380        -86.4639033239          0.7680798442        -85.6958234798
     384        -86.4772881850          0.7894459280        -85.6878422570
     388        -86.5090562471          0.8108516346        -85.6982046125
     392        -86.4906332499          0.7940729593        -85.6965602906
     396        -86.5017897693          0.8087804908        -85.6930092785
     400        -86.5612873379          0.8623401966        -85.6989471413
     404        -86.5739051767          0.8770278731        -85.6968773036
     408        -86.5643011815          0.8675747167        -85.6967264648
     412        -86.5257769216          0.8324884026        -85.6932885190
     416        -86.4788276926          0.7844347758        -85.6943929168
     420        -86.4942999132          0.7843687506        -85.7099311626
     424        -86.5083839818          0.8018251570        -85.7065588248
     428        -86.4871349400          0.7921921022        -85.6949428378
     432        -86.4667730755          0.7598050358        -85.7069680398
     436        -86.4609744819          0.7526532995        -85.7083211824
     440        -86.5115358043          0.8112451895        -85.7002906147
     444        -86.5621290664          0.8586942036        -85.7034348628
     448        -86.5364329412          0.8414558590        -85.6949770822
     452        -86.4913032109          0.8046252050        -85.6866780059
     456        -86.4404629554          0.7503819303        -85.6900810251
     460        -86.4459895713          0.7554382513        -85.6905513200
     464        -86.5078808878          0.8208823530        -85.6869985348
     468        -86.4842132960          0.7960264575        -85.6881868385
     472        -86.4366563801          0.7374721046        -85.6991842754
     476        -86.4315577056          0.7379944711        -85.6935632345
     480        -86.4580589284          0.7652702943        -85.6927886341
     484        -86.5547041090          0.8563798572        -85.6983242518
     488        -86.5716377853          0.8785696141        -85.6930681712
