#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
1500,1.4999999999999456,-42864.03006420142,7926.660611703707,231.0331126606132
1550,1.54999999999994,-42714.856277349,8170.937249219926,238.15288158730505
1600,1.5999999999999346,-42703.080736456075,8322.106871761544,242.55892218199796
1650,1.649999999999929,-42551.44967837572,8362.752397735105,243.7435903343766
1700,1.6999999999999236,-42496.65166857574,8406.715086062362,245.02494161491185
1750,1.749999999999918,-42513.3095218291,8654.31052524201,252.24144144963233
1800,1.7999999999999126,-42460.937092454245,8659.340935826483,252.3880594861831
1850,1.849999999999907,-42405.69423846197,8816.43552257016,256.96679107763487
1900,1.8999999999999015,-42475.597855994434,8934.164282459598,260.39815305707566
1950,1.949999999999896,-42355.71107571806,9044.148318944006,263.60378472679207
2000,1.9999999999998905,-41983.79753892526,8867.15741287281,258.44514832928115
2050,2.0499999999998852,-41847.16428180817,8797.217624940195,256.4066597782465
2100,2.0999999999998797,-42066.96132729429,9098.085398235527,265.17585295665214
2150,2.1499999999998742,-42014.956390791674,9178.231407559508,267.51181546450897
2200,2.1999999999998687,-41837.60514529881,9188.176089871185,267.80166651546676
2250,2.249999999999863,-41668.254888482974,9125.686166065338,265.9803142065925
2300,2.2999999999998577,-41782.963134091355,9455.511098589239,275.5935024742425
2350,2.349999999999852,-41826.34305435374,9632.117096727006,280.74092021583965
2400,2.3999999999998467,-41665.449110809655,9456.517987439609,275.62284959487744
2450,2.449999999999841,-41577.86808210889,9450.218281054018,275.4392362365659
2500,2.4999999999998357,-41547.52974893419,9472.423314519669,276.08643160036485
2550,2.54999999999983,-41510.25299075023,9590.710552375165,279.53407116619053
2600,2.5999999999998247,-41374.252180932475,9615.573767267557,280.258742778705
2650,2.649999999999819,-41234.32915327894,9527.802959239205,277.70054532673055
2700,2.6999999999998137,-41543.06744850483,9818.11497668715,286.1620768996541
2750,2.749999999999808,-41378.78366967467,9738.194087161337,283.83267580904976
2800,2.7999999999998026,-41275.63189339578,9709.56868399587,282.9983501934534
2850,2.849999999999797,-41210.57744165034,9720.25182365129,283.309724570191
2900,2.8999999999997916,-41174.23263198186,9891.370901073045,288.29721867760725
2950,2.949999999999786,-41133.725130206694,9924.534247068437,289.26380869916613
3000,2.9999999999997806,-41062.04763405313,9812.8490508057,286.00859445515096
3050,3.049999999999775,-40981.465111811165,9847.789557356655,287.02698219518953
3100,3.0999999999997696,-41071.733349169685,9962.439477870992,290.3686072880577
3150,3.149999999999764,-41115.220786112695,9955.856192552716,290.17672864292325
3200,3.1999999999997586,-41222.97413997261,10014.47474046672,291.8852445297044
3250,3.249999999999753,-41015.50917430646,9796.528965187657,285.53292375800305
3300,3.2999999999997476,-40905.43899485547,9819.423185964393,286.20020640666075
3350,3.349999999999742,-41135.70052790531,10055.01461539233,293.0668333411525
3400,3.3999999999997366,-41008.28762517215,9831.80157230052,286.5609910125676
3450,3.449999999999731,-41034.09874283872,9931.022505408384,289.45291765607175
3500,3.4999999999997256,-40846.555324753266,10024.001807112052,292.1629236141787
3550,3.54999999999972,-40886.30572392115,10063.698345495177,293.3199322554927
3600,3.5999999999997145,-40853.398976941346,10060.853688045692,293.2370209139831
3650,3.649999999999709,-41004.67016767903,10188.282432034972,296.9511018881082
3700,3.6999999999997035,-40876.29216554438,10120.69077596625,294.9810527770884
3750,3.749999999999698,-40762.150120574595,10080.028690583093,293.79590197859557
3800,3.7999999999996925,-40821.85480081853,10009.94259546579,291.7531491092132
3850,3.849999999999687,-40770.88053936521,10105.205439435253,294.52971195721386
3900,3.8999999999996815,-40756.50771711897,10181.387374356747,296.75013622105007
3950,3.949999999999676,-40527.36581849263,10045.829555112436,292.7991224890812
4000,3.9999999999996705,-40627.31351886828,10068.217110926611,293.45163771055735
4050,4.049999999999687,-40684.47643363886,10173.887609205782,296.5315455468773
4100,4.099999999999704,-40730.507912069166,10305.423470076523,300.3653339291616
4150,4.149999999999721,-40709.62826819811,10277.121317395418,299.54042988075855
4200,4.199999999999737,-40522.44372224644,10042.963718065801,292.71559383991905
4250,4.249999999999754,-40778.77091147301,10250.840365239039,298.77443642174654
4300,4.299999999999771,-40852.227509453725,10376.334505306198,302.4321307801469
