#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
1500,1.4999999999999456,25626.934292957907,7861.089522385427,228.78929221028284
1550,1.54999999999994,25790.799401600132,7993.935194614157,232.65563506719351
1600,1.5999999999999346,26037.28396722566,7969.62152531178,231.94800959430134
1650,1.649999999999929,25989.987290000725,8232.202268177754,239.59016430291823
1700,1.6999999999999236,26160.210193511848,8374.99920662903,243.74612899267652
1750,1.749999999999918,26241.69788345204,8402.089392939555,244.53456226699305
1800,1.7999999999999126,26391.140806975185,8404.73727088208,244.61162615471554
1850,1.849999999999907,26413.843503744727,8639.834072942707,251.4538877510483
1900,1.8999999999999015,26687.739733056886,8567.034524180215,249.33512836188612
1950,1.949999999999896,26737.39689439081,8625.065737086483,251.0240698361082
2000,1.9999999999998905,26686.704518719038,8835.2532662999,257.14137150316435
2050,2.0499999999998852,26903.81458057837,8649.935547353029,251.74788124572055
2100,2.0999999999998797,26858.182016965657,8914.129399266489,259.43698390934816
2150,2.1499999999998742,26814.536479321527,9137.985780301802,265.95210408804365
2200,2.1999999999998687,27023.427287875427,9194.684670363238,267.6022696139959
2250,2.249999999999863,27223.967093883803,9224.820732239654,268.47935010609257
2300,2.2999999999998577,27306.11389701174,9200.302842525996,267.7657809986421
2350,2.349999999999852,27293.824935466742,9334.856799807721,271.6818418147561
2400,2.3999999999998467,27477.004886414594,9276.326742691683,269.97838196959435
2450,2.449999999999841,27422.271236877576,9549.431216960884,277.9268195480728
2500,2.4999999999998357,27282.04024649223,9626.108256646676,280.1584295034787
2550,2.54999999999983,27496.638869357404,9563.880233511305,278.3473439881383
2600,2.5999999999998247,27553.514057371453,9580.594966216626,278.8338098723194
2650,2.649999999999819,27756.322241958376,9432.131400065815,274.51292354709267
2700,2.6999999999998137,27479.944559016156,9789.925947396334,284.9261825498483
2750,2.749999999999808,27670.401156849242,9671.3786996483,281.4759812986711
2800,2.7999999999998026,27560.031875730165,9650.74111472753,280.87534465237593
2850,2.849999999999797,27629.773634568664,9584.053760470437,278.93447468309114
2900,2.8999999999997916,27502.64752845234,9855.849125186889,286.8448119133741
2950,2.949999999999786,27768.931680387264,9595.494296375728,279.26744024782926
3000,2.9999999999997806,27791.299481260176,9678.123891036461,281.67229347131916
3050,3.049999999999775,27874.025567665383,9776.31487815245,284.5300457434087
3100,3.0999999999997696,27763.78403035824,9910.473932510211,288.4346132976526
3150,3.149999999999764,27945.383788344225,9810.01014216763,285.5107133191842
3200,3.1999999999997586,28093.551199355737,9893.91169195054,287.9525855476476
3250,3.249999999999753,28093.509837728125,9897.549626795668,288.05846406944204
3300,3.2999999999997476,27808.536953952607,10107.126579306743,294.1579955010656
3350,3.349999999999742,27915.106232789214,10072.121458870984,293.13920584023975
3400,3.3999999999997366,27995.053420628872,10077.558342328684,293.2974409951219
3450,3.449999999999731,28135.291629015635,10054.044948851466,292.61310676437745
3500,3.4999999999997256,28016.170364077487,10244.281019068247,298.1497408064938
3550,3.54999999999972,28353.99574568941,10007.909616497207,291.2703832137602
3600,3.5999999999997145,28208.509898473,10220.200994566152,297.44891533611184
3650,3.649999999999709,28342.644305096488,10164.506149392946,295.82797155081926
3700,3.6999999999997035,28362.756913243058,10195.739428271945,296.73698546648376
3750,3.749999999999698,28327.107539706565,10205.309205291065,297.0155044306273
3800,3.7999999999996925,28232.75321802131,10346.85592810475,301.1350828217663
3850,3.849999999999687,28400.98084610336,10271.834974245388,298.951671618326
3900,3.8999999999996815,28415.97917581779,10207.205306657486,297.07068859922725
3950,3.949999999999676,28371.078102876847,10294.60193093113,299.6142815391366
4000,3.9999999999996705,28374.845058346793,10314.655924707826,300.1979333381772
4050,4.049999999999687,28274.03768232008,10386.648141497291,302.29319612293597
4100,4.099999999999704,28350.564839310413,10388.164518618001,302.3373287901933
4150,4.149999999999721,28430.697523174436,10262.219918374549,298.67183485765975
4200,4.199999999999737,28444.60571868266,10194.102798062408,296.6893529511455
4250,4.249999999999754,28332.87158395644,10265.837263897069,298.77711414743516
4300,4.299999999999771,28583.637320156784,10173.270481399886,296.0830488287022
4350,4.349999999999787,28350.18775292035,10511.540576271316,305.92806781254086
4400,4.399999999999804,28486.56954330473,10374.927598676311,301.952081231839
