# Duschinsky Rotation Analysis
#
# Total reorganization energy (parallel mode): 3434454.1053 meV
# Total reorganization energy (cation modes):  1.6217 meV
#
# Mode comparison:
# Mode  Freq_N(cm-1)  Freq_C(cm-1)  D_N        D_C        lambda_N(meV)  lambda_C(meV)  S_N       S_C       Max_J
   92       3660.37       1704.56    -74.7018    -0.0153    21118.5640         0.0002    46.5343    0.0000    0.483
   93       3945.96       1725.26     66.8873    -0.0128    19676.3851         0.0001    40.2185    0.0000    0.516
   94       4450.89       1736.55     -7.7913     0.0436      339.6812         0.0016     0.6155    0.0000    0.415
   95       4697.10       3014.35   -147.6124    -0.0177   135786.6651         0.0008   233.1638    0.0000    0.598
   96       4945.61       3016.40    126.1798    -0.0310   109994.8296         0.0025   179.3848    0.0000    0.507
   97       5053.40       3018.65     76.5969     0.1504    42319.6296         0.0582    67.5447    0.0002    0.657
   98       5759.98       3020.46   -147.8895     0.0050   204959.7395         0.0001   286.9995    0.0000    0.419
   99       7529.18       3021.32    -68.9958     0.1570    76224.0883         0.0636    81.6541    0.0002    0.444
  100       8411.31       3022.00     97.1958     0.0340   188787.9675         0.0030   181.0274    0.0000    0.408
  101       9805.96       3022.12     45.2642    -0.0817    55647.1918         0.0172    45.7706    0.0000    0.377
  102       9959.10       3023.04     41.7045    -0.0367    48725.6629         0.0035    39.4613    0.0000    0.476
  103      11357.03       3023.90    -25.2626    -0.0385    23250.7891         0.0038    16.5123    0.0000    0.469
  104      11900.12       3026.26    175.6710    -0.0391  1234396.4028         0.0040   836.6369    0.0000    0.341
  105      13871.93       3030.80     43.4212    -0.0253   102477.6252         0.0017    59.5835    0.0000    0.524
  106      14213.02       3031.10     44.2840     0.0111   111897.0299         0.0003    63.4988    0.0000    0.515
  107      14244.16       3032.92   -107.1379    -0.0822   657827.6776         0.0175   372.4852    0.0000    0.581
  108      14766.79       3033.74    -42.0365     0.1317   108837.3995         0.0451    59.4464    0.0001    0.803
